model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2080,387.694637,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2090,419.246888,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2100,436.877376,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2020,34.086428,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2030,37.919391,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2040,28.045023,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2050,8.944648,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2060,2.536467,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2070,1.255003,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2080,1.226684,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2090,1.683531,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Coal,2100,1.507354,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2020,22.839445,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2030,23.649070,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2040,24.811072,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2050,23.296748,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2060,20.787568,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2070,18.673630,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2080,14.294631,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2090,12.194889,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Gas,2100,8.680977,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2020,2.405043,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2030,3.228341,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2040,0.730695,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2050,0.363799,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2060,0.069418,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2070,0.033883,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2080,0.009796,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2090,0.010604,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Oil,2100,0.011866,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2020,2.466505,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2030,2.781753,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2040,1.752347,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2050,3.626400,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2060,3.479380,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2070,6.170560,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Biomass,2080,10.884180,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP1_L.xlsx
