model,model_version,scenario,region,year,stage,group,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Secondary electricity,Electricity output,12.163676,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Secondary electricity,Electricity output,15.194999,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Secondary electricity,Electricity output,18.330873,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Secondary electricity,Electricity output,19.080833,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Secondary electricity,Electricity output,23.014061,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Secondary electricity,Electricity output,26.108008,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Secondary electricity,Electricity output,28.297192,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Secondary electricity,Electricity output,28.778653,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Secondary electricity,Electricity output,29.115091,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Biomass; Secondary Energy|Electricity|Coal; Secondary Energy|Electricity|Gas; Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydro; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Nuclear; Secondary Energy|Electricity|Oil; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Solar|CSP; Secondary Energy|Electricity|Solar|PV|1; Secondary Energy|Electricity|Solar|PV|2; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave; Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Final electricity,Passenger transport,0.322646,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|International Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
