case,pathway,commissioning_year,year,metric,statistic,value,unit,reference_pulse_year,window_start,window_end,forest_case,counterfactual,chp_treatment,provenance_id
BECCS,SSP2-NPi,2030,2068,atmospheric CO2 perturbation,median,-1.6729821421840176e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2069,atmospheric CO2 perturbation,median,-1.862132985410268e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2070,atmospheric CO2 perturbation,median,-2.0600604460478075e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2071,atmospheric CO2 perturbation,median,-2.2658843718945377e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2072,atmospheric CO2 perturbation,median,-2.4795512888266904e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2073,atmospheric CO2 perturbation,median,-2.699594050988158e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2074,atmospheric CO2 perturbation,median,-2.926044291538587e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2075,atmospheric CO2 perturbation,median,-3.156882426851676e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2076,atmospheric CO2 perturbation,median,-3.392236901997524e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2077,atmospheric CO2 perturbation,median,-3.629623545523415e-11,ppm,2030,2030,2300,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
