case,system,model,pathway,region,commissioning_year,operation_start_year,operation_end_year,operation_year,period,plant_lifetime_years,annual_gross_captured_tonnes,annual_net_stored_tonnes,denominator_net_stored_tonnes,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,method,indicator,unit,capacity_basis,package_sha256,foreground_sha256,calculation_timestamp,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,,lifetime,20,7684.902016644977,7469.724760178917,149394.49520357835,-145111257.53985634,-971.329347457647,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,13c237f876536b1be85b
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2030,annual,20,100000.0,97200.0,97200.0,-85614114.14479008,-880.8036434649185,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,4a5bc26d30286e992d55
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2031,annual,20,100000.0,97200.0,97200.0,-85794260.55878502,-882.6570016335908,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,649442262caf9b1e11ba
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2032,annual,20,100000.0,97200.0,97200.0,-85975277.36075406,-884.51931441105,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,a2f16ee3d1c79b19c947
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2033,annual,20,100000.0,97200.0,97200.0,-86157183.52664675,-886.3907770231147,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,c435a86ac81aa4e020e5
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2034,annual,20,100000.0,97200.0,97200.0,-86340000.67125432,-888.2716118441803,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,ae6c65228e838dfe7a83
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2035,annual,20,100000.0,97200.0,97200.0,-86523744.99813889,-890.1619855775606,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,7733c8a8e6e22b0ca965
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2036,annual,20,100000.0,97200.0,97200.0,-86698536.08768657,-891.9602478157054,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,ae9b3440a19614396118
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2037,annual,20,100000.0,97200.0,97200.0,-86873316.12903756,-893.7583963892753,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,20ba1e2c90cb629d0d75
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2038,annual,20,100000.0,97200.0,97200.0,-87048172.80114722,-895.557333345136,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,c5b7af59825fe7ad5142
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2039,annual,20,100000.0,97200.0,97200.0,-87223193.78551766,-897.3579607563546,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,100 ktCO2 captured per year stated by the DACCS inventory; annual throughput already embeds plant utilization.,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,43de3a3ed1024a6999ec
