pathway,year,sector,category,share,market_name,reference_product,market_unit,location
SSP2-PkBudg1000,2030,Cement clinker,Conventional,1.0,market for clinker,clinker,kilogram,ENC
SSP2-PkBudg1000,2030,Cement clinker,CCS,0.0,market for clinker,clinker,kilogram,ENC
SSP2-PkBudg1000,2030,Steel,BF–BOF,0.24044719088513403,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,BF–BOF + CCS,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,DRI–EAF,0.17894334572104967,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,H₂–DRI/EAF,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,Scrap EAF,0.5806094633938164,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,Electrowinning,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Steel,Other,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2030,Truck transport,Battery electric,0.1966908749707109,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2030,Truck transport,Diesel truck,0.7961926306506886,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2030,Truck transport,Fuel cell,0.003711090709068213,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2030,Truck transport,Compressed gas,0.0034054036695322894,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2030,Truck transport,Other,0.0,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2050,Electricity,Hydro,0.5052746114138588,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Wind,0.22004364657526546,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Solar,0.22011058665588507,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Nuclear,0.0,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Biomass,0.05437762460043857,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Natural gas,0.00015954737006591545,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Coal and oil,2.628322183840048e-05,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,Electricity,Other,7.700162647968892e-06,"market group for electricity, high voltage","electricity, high voltage",kilowatt hour,ENC
SSP2-PkBudg1000,2050,District heat,Electric,0.3924916200032941,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Biomass,0.4761682160068823,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Recovered heat,0.03814692653489557,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Hydrogen,0.06712311755604096,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Natural gas,0.0,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Oil,0.0002439669860969698,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Coal,0.025826152912790168,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,District heat,Other,0.0,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC
SSP2-PkBudg1000,2050,Cement clinker,Conventional,0.7744380134013671,market for clinker,clinker,kilogram,ENC
SSP2-PkBudg1000,2050,Cement clinker,CCS,0.22556198659863286,market for clinker,clinker,kilogram,ENC
SSP2-PkBudg1000,2050,Steel,BF–BOF,0.15734374932209277,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,BF–BOF + CCS,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,DRI–EAF,0.2887669732345494,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,H₂–DRI/EAF,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,Scrap EAF,0.5538892774433579,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,Electrowinning,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Steel,Other,0.0,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC
SSP2-PkBudg1000,2050,Truck transport,Battery electric,0.9294402214329889,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2050,Truck transport,Diesel truck,0.0520355775741126,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2050,Truck transport,Fuel cell,0.015828154789621653,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2050,Truck transport,Compressed gas,0.0026960462032771123,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
SSP2-PkBudg1000,2050,Truck transport,Other,0.0,"market for transport, freight, lorry","transport, freight, lorry",ton kilometer,ENC
