provenance_id,contributor,contributor_type,score,unit,rank
37335584a26e16fb1066,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,3
37335584a26e16fb1066,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant | hydrogen, gaseous, 25 bar | ENC",activity,14.943762762071692,kg CO2-Eq,4
37335584a26e16fb1066,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,-14.21970112843105,kg CO2-Eq,5
37335584a26e16fb1066,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,-11.253061892930775,kg CO2-Eq,6
37335584a26e16fb1066,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,-10.456879109571856,kg CO2-Eq,7
37335584a26e16fb1066,"wood chipping, mobile chipper, at forest road | wood chipping, chipper, mobile, diesel, at forest road | FI",activity,8.697379848408161,kg CO2-Eq,8
37335584a26e16fb1066,supply of forest residue | forest residue | ENC,activity,6.688718494982885,kg CO2-Eq,9
37335584a26e16fb1066,"harvesting, forestry harvester | harvesting, forestry harvester | FI",activity,6.079294855729163,kg CO2-Eq,10
37335584a26e16fb1066,"carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from wood gasification | carbon monoxide, from RWGS | ENC",activity,-5.224414593053606,kg CO2-Eq,11
37335584a26e16fb1066,"methanol production, biomass gasification | methanol, from biomass | ENC",activity,-4.835451309770749,kg CO2-Eq,12
37335584a26e16fb1066,Other,activity,25.34768124452321,kg CO2-Eq,13
37335584a26e16fb1066,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1130.0671862970287,kg CO2-Eq,1
37335584a26e16fb1066,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,59.25774137893929,kg CO2-Eq,2
37335584a26e16fb1066,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,53.63165994120661,kg CO2-Eq,3
37335584a26e16fb1066,"Carbon dioxide, fossil | air | unspecified",biosphere flow,13.407686804242495,kg CO2-Eq,4
37335584a26e16fb1066,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,11.605425132521777,kg CO2-Eq,5
37335584a26e16fb1066,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,7.248445200316,kg CO2-Eq,6
37335584a26e16fb1066,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,3.210877816407349,kg CO2-Eq,7
37335584a26e16fb1066,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,2.656252105537714,kg CO2-Eq,8
37335584a26e16fb1066,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,1.6641231399641423,kg CO2-Eq,9
37335584a26e16fb1066,Dinitrogen monoxide | air | unspecified,biosphere flow,1.1415011758744409,kg CO2-Eq,10
37335584a26e16fb1066,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,-0.7619776408887389,kg CO2-Eq,11
37335584a26e16fb1066,"Methane, non-fossil | air | urban air close to ground",biosphere flow,0.40588421500784083,kg CO2-Eq,12
37335584a26e16fb1066,Other,biosphere flow,0.26951420460274117,kg CO2-Eq,13
3f7867fe9652b5e1d70e,"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity | carbon dioxide, captured | ENC",activity,-1028.8065671920776,kg CO2-Eq,1
3f7867fe9652b5e1d70e,supply of forest residue | forest residue | ENC,activity,-386.6359614190876,kg CO2-Eq,2
3f7867fe9652b5e1d70e,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,188.67143650650476,kg CO2-Eq,3
3f7867fe9652b5e1d70e,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,149.30912690068428,kg CO2-Eq,4
3f7867fe9652b5e1d70e,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,138.74513198639943,kg CO2-Eq,5
3f7867fe9652b5e1d70e,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,6
3f7867fe9652b5e1d70e,"plywood production | wood chips, dry, measured as dry mass | ENC",activity,-11.305305250143189,kg CO2-Eq,7
3f7867fe9652b5e1d70e,"three and five layered board production | wood chips, dry, measured as dry mass | ENC",activity,-8.642662981232027,kg CO2-Eq,8
3f7867fe9652b5e1d70e,treatment of sewage sludge by anaerobic digestion | biogas | RoW,activity,-8.534331750851253,kg CO2-Eq,9
3f7867fe9652b5e1d70e,"electricity production, at biomass-fired IGCC power plant | electricity, high voltage | ENC",activity,7.8036120674810565,kg CO2-Eq,10
3f7867fe9652b5e1d70e,"electricity production, natural gas, subcritical, steam cycle | electricity, high voltage | ENC",activity,7.202676603082774,kg CO2-Eq,11
3f7867fe9652b5e1d70e,"hardwood forestry, beech, sustainable forest management | sawlog and veneer log, hardwood, with bark, green, measured as green volume under bark | ENC",activity,-5.719416099934729,kg CO2-Eq,12
3f7867fe9652b5e1d70e,Other,activity,97.9329188093956,kg CO2-Eq,13
3f7867fe9652b5e1d70e,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1500.6508262035488,kg CO2-Eq,1
3f7867fe9652b5e1d70e,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,479.34837425303317,kg CO2-Eq,2
3f7867fe9652b5e1d70e,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,107.41233378454821,kg CO2-Eq,3
3f7867fe9652b5e1d70e,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,37.153199679994536,kg CO2-Eq,4
3f7867fe9652b5e1d70e,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,-32.79197459389032,kg CO2-Eq,5
3f7867fe9652b5e1d70e,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,28.464258513801447,kg CO2-Eq,6
3f7867fe9652b5e1d70e,"Carbon dioxide, fossil | air | unspecified",biosphere flow,27.34228734045609,kg CO2-Eq,7
3f7867fe9652b5e1d70e,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,7.048578114281443,kg CO2-Eq,8
3f7867fe9652b5e1d70e,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,5.900798132706353,kg CO2-Eq,9
3f7867fe9652b5e1d70e,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,3.7504349466903335,kg CO2-Eq,10
3f7867fe9652b5e1d70e,Sulfur hexafluoride | air | non-urban air or from high stacks,biosphere flow,2.689296721183642,kg CO2-Eq,11
3f7867fe9652b5e1d70e,"Methane, non-fossil | air | non-urban air or from high stacks",biosphere flow,1.0447369794945622,kg CO2-Eq,12
3f7867fe9652b5e1d70e,Other,biosphere flow,2.1157452820163036,kg CO2-Eq,13
e4d890d8b30819db05bf,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | forest carbon regrowth service per kilogram wood harvested | SE",activity,-1143.1183516397093,kg CO2-Eq,1
e4d890d8b30819db05bf,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | gross biogenic carbon entering post-combustion capture | ENC",activity,122.21438487391455,kg CO2-Eq,2
e4d890d8b30819db05bf,supply of forest residue | forest residue | ENC,activity,90.4238848755563,kg CO2-Eq,3
e4d890d8b30819db05bf,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,-41.517450556631566,kg CO2-Eq,4
e4d890d8b30819db05bf,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,-32.85570954557248,kg CO2-Eq,5
e4d890d8b30819db05bf,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,-30.531087608590205,kg CO2-Eq,6
e4d890d8b30819db05bf,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,7
e4d890d8b30819db05bf,"wood chipping, mobile chipper, at forest road | wood chipping, chipper, mobile, diesel, at forest road | FI",activity,8.69738000442101,kg CO2-Eq,8
e4d890d8b30819db05bf,"harvesting, forestry harvester | harvesting, forestry harvester | FI",activity,6.07079008993678,kg CO2-Eq,9
e4d890d8b30819db05bf,"heat production, softwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | ENC",activity,-5.3225089807772,kg CO2-Eq,10
e4d890d8b30819db05bf,"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | ENC",activity,-4.988983224023554,kg CO2-Eq,11
