case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Capture chemicals and operating materials,16382.585441021267,2.193198004879214,7469.724760178917,12,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,CCS infrastructure and end-of-life,11440.710260838874,1.5316106855542082,7469.724760178917,13,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Other CHP and CCS supply-chain GHG emissions,0.12066048382119857,1.615327039417025e-05,7469.724760178917,14,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | SE",-8538779.455058046,-1143.1183516397093,7469.724760178917,1,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | ENC",912907.8167427152,122.21438487391455,7469.724760178917,2,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,supply of forest residue | ENC,574378.3310912832,76.89417609512101,7469.724760178917,3,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | FI",-282274.9483661155,-37.789203408259766,7469.724760178917,4,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | SE",-223590.41631786822,-29.932885547514168,7469.724760178917,5,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | ENC",215177.25951671123,28.806584770542102,7469.724760178917,6,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | DK",-207770.83462079382,-27.8150589601935,7469.724760178917,7,kg CO2-Eq,2c731982945ddbc6fc0c
